index,decim_data,hann_q15,expected_window,rtl_window,error
423,353,3330,36,36,0
424,360,3345,37,37,0
425,359,3360,37,37,0
426,352,3375,36,36,0
427,341,3391,35,35,0
428,324,3406,34,34,0
429,304,3421,32,32,0
430,279,3437,29,29,0
431,253,3452,27,27,0
432,225,3468,24,24,0
433,192,3483,20,20,0
434,161,3499,17,17,0
435,128,3514,14,14,0
436,95,3530,10,10,0
437,64,3545,7,7,0
438,35,3561,4,4,0
439,10,3577,1,1,0
440,-12,3592,-1,-1,0
441,-32,3608,-4,-4,0
442,-51,3624,-6,-6,0
443,-62,3640,-7,-7,0
444,-70,3655,-8,-8,0
445,-77,3671,-9,-9,0
446,-77,3687,-9,-9,0
447,-73,3703,-8,-8,0
448,-68,3719,-8,-8,0
449,-59,3735,-7,-7,0
450,-45,3751,-5,-5,0
451,-33,3767,-4,-4,0
452,-18,3783,-2,-2,0
453,-1,3799,0,0,0
454,16,3815,2,2,0
455,30,3831,4,4,0
456,43,3847,5,5,0
457,54,3864,6,6,0
458,62,3880,7,7,0
459,70,3896,8,8,0
460,74,3912,9,9,0
461,73,3929,9,9,0
462,70,3945,8,8,0
463,62,3961,7,7,0
464,49,3978,6,6,0
465,33,3994,4,4,0
466,13,4011,2,2,0
467,-9,4027,-1,-1,0
468,-35,4044,-4,-4,0
469,-63,4060,-8,-8,0
470,-93,4077,-12,-12,0
471,-128,4093,-16,-16,0
472,-160,4110,-20,-20,0
473,-191,4127,-24,-24,0
474,-222,4143,-28,-28,0
475,-251,4160,-32,-32,0
476,-279,4177,-36,-36,0
477,-304,4194,-39,-39,0
478,-325,4210,-42,-42,0
479,-340,4227,-44,-44,0
480,-350,4244,-45,-45,0
481,-357,4261,-46,-46,0
482,-359,4278,-47,-47,0
483,-356,4295,-47,-47,0
484,-345,4312,-45,-45,0
485,-329,4329,-43,-43,0
486,-309,4346,-41,-41,0
487,-280,4363,-37,-37,0
488,-250,4380,-33,-33,0
489,-213,4397,-29,-29,0
490,-173,4414,-23,-23,0
491,-131,4432,-18,-18,0
492,-85,4449,-12,-12,0
493,-40,4466,-5,-5,0
494,7,4483,1,1,0
495,53,4500,7,7,0
496,99,4518,14,14,0
497,143,4535,20,20,0
498,186,4553,26,26,0
499,226,4570,32,32,0
500,259,4587,36,36,0
501,287,4605,40,40,0
502,315,4622,44,44,0
503,333,4640,47,47,0
504,347,4657,49,49,0
505,357,4675,51,51,0
506,358,4692,51,51,0
507,355,4710,51,51,0
508,348,4728,50,50,0
509,336,4745,49,49,0
510,318,4763,46,46,0
511,296,4781,43,43,0
512,271,4799,40,40,0
513,243,4816,36,36,0
514,211,4834,31,31,0
515,180,4852,27,27,0
516,149,4870,22,22,0
517,116,4888,17,17,0
518,83,4906,12,12,0
519,53,4924,8,8,0
520,26,4942,4,4,0
521,3,4960,0,0,0
522,-20,4978,-3,-3,0
523,-39,4996,-6,-6,0
524,-54,5014,-8,-8,0
525,-65,5032,-10,-10,0
526,-72,5050,-11,-11,0
527,-76,5068,-12,-12,0
528,-74,5086,-11,-11,0
529,-70,5105,-11,-11,0
530,-62,5123,-10,-10,0
531,-51,5141,-8,-8,0
532,-41,5159,-6,-6,0
533,-28,5178,-4,-4,0
534,-12,5196,-2,-2,0
535,4,5214,1,1,0
536,21,5233,3,3,0
537,35,5251,6,6,0
538,46,5270,7,7,0
539,59,5288,10,10,0
540,69,5307,11,11,0
541,72,5325,12,12,0
542,74,5344,12,12,0
543,73,5362,12,12,0
544,66,5381,11,11,0
545,57,5400,9,9,0
546,44,5418,7,7,0
547,26,5437,4,4,0
548,6,5456,1,1,0
549,-19,5474,-3,-3,0
550,-46,5493,-8,-8,0
551,-75,5512,-13,-13,0
552,-105,5531,-18,-18,0
553,-138,5550,-23,-23,0
554,-170,5569,-29,-29,0
555,-202,5587,-34,-34,0
556,-234,5606,-40,-40,0
557,-261,5625,-45,-45,0
558,-286,5644,-49,-49,0
559,-312,5663,-54,-54,0
560,-332,5682,-58,-58,0
561,-345,5701,-60,-60,0
562,-356,5720,-62,-62,0
563,-362,5739,-63,-63,0
564,-360,5759,-63,-63,0
565,-352,5778,-62,-62,0
566,-340,5797,-60,-60,0
567,-322,5816,-57,-57,0
568,-299,5835,-53,-53,0
569,-270,5855,-48,-48,0
570,-236,5874,-42,-42,0
571,-201,5893,-36,-36,0
572,-159,5912,-29,-29,0
573,-113,5932,-20,-20,0
574,-69,5951,-13,-13,0
575,-24,5971,-4,-4,0
576,23,5990,4,4,0
577,72,6009,13,13,0
578,118,6029,22,22,0
579,160,6048,30,30,0
580,199,6068,37,37,0
581,236,6087,44,44,0
582,269,6107,50,50,0
583,297,6127,56,56,0
584,321,6146,60,60,0
585,339,6166,64,64,0
586,351,6185,66,66,0
587,359,6205,68,68,0
588,359,6225,68,68,0
589,354,6245,67,67,0
590,344,6264,66,66,0
591,328,6284,63,63,0
592,309,6304,59,59,0
593,286,6324,55,55,0
594,260,6344,50,50,0
595,233,6363,45,45,0
596,202,6383,39,39,0
597,169,6403,33,33,0
598,136,6423,27,27,0
599,103,6443,20,20,0
600,73,6463,14,14,0
601,45,6483,9,9,0
602,17,6503,3,3,0
603,-8,6523,-2,-2,0
604,-27,6543,-5,-5,0
605,-43,6563,-9,-9,0
606,-59,6584,-12,-12,0
607,-69,6604,-14,-14,0
608,-75,6624,-15,-15,0
609,-77,6644,-16,-16,0
610,-73,6664,-15,-15,0
611,-68,6685,-14,-14,0
612,-59,6705,-12,-12,0
613,-48,6725,-10,-10,0
614,-35,6745,-7,-7,0
615,-20,6766,-4,-4,0
616,-6,6786,-1,-1,0
617,10,6806,2,2,0
618,26,6827,5,5,0
619,39,6847,8,8,0
620,53,6868,11,11,0
621,61,6888,13,13,0
622,69,6909,15,15,0
623,73,6929,15,15,0
624,73,6950,15,15,0
625,71,6970,15,15,0
626,61,6991,13,13,0
627,52,7011,11,11,0
628,39,7032,8,8,0
629,20,7053,4,4,0
630,-4,7073,-1,-1,0
631,-31,7094,-7,-7,0
632,-56,7115,-12,-12,0
633,-86,7136,-19,-19,0
634,-119,7156,-26,-26,0
635,-152,7177,-33,-33,0
