cycle,bin,power_hex,power_unsigned
273920,953,00000000,0
273921,954,00000000,0
273922,955,00000000,0
273923,956,00000000,0
273924,957,00000000,0
273925,958,00000000,0
273926,959,00000000,0
273927,960,00000000,0
273928,961,00000000,0
273929,962,00000000,0
273930,963,00000000,0
273931,964,00000000,0
273932,965,00000000,0
273933,966,00000000,0
273934,967,00000000,0
273935,968,00000000,0
273936,969,00000000,0
273937,970,00000000,0
273938,971,00000000,0
273939,972,00000000,0
273940,973,00000000,0
273941,974,00000000,0
273942,975,00000000,0
273943,976,00000000,0
273944,977,00000000,0
273945,978,00000000,0
273946,979,00000000,0
273947,980,00000000,0
273948,981,00000000,0
273949,982,00000000,0
273950,983,00000000,0
273951,984,00000000,0
273952,985,00000000,0
273953,986,00000000,0
273954,987,00000000,0
273955,988,00000000,0
273956,989,00000000,0
273957,990,00000000,0
273958,991,00000000,0
273959,992,00000000,0
273960,993,00000000,0
273961,994,00000000,0
273962,995,00000000,0
273963,996,00000000,0
273964,997,00000000,0
273965,998,00000000,0
273966,999,00000000,0
273967,1000,00000000,0
273968,1001,00000000,0
273969,1002,00000000,0
273970,1003,00000000,0
273971,1004,00000000,0
273972,1005,00000000,0
273973,1006,00000000,0
273974,1007,00000000,0
273975,1008,00000000,0
273976,1009,00000000,0
273977,1010,00000000,0
273978,1011,00000000,0
273979,1012,00000000,0
273980,1013,00000000,0
273981,1014,00000000,0
273982,1015,00000000,0
273983,1016,00000000,0
273984,1017,00000000,0
273985,1018,00000000,0
273986,1019,00000000,0
273987,1020,00000000,0
273988,1021,00000000,0
273989,1022,00000000,0
273990,1023,00000000,0
273991,1024,00000000,0
273992,1025,00000000,0
273993,1026,00000000,0
273994,1027,00000000,0
273995,1028,00000000,0
273996,1029,00000000,0
273997,1030,00000000,0
273998,1031,00000000,0
273999,1032,00000000,0
274000,1033,00000000,0
274001,1034,00000000,0
274002,1035,00000000,0
274003,1036,00000000,0
274004,1037,00000000,0
274005,1038,00000000,0
274006,1039,00000000,0
274007,1040,00000000,0
274008,1041,00000000,0
274009,1042,00000000,0
274010,1043,00000000,0
274011,1044,00000000,0
274012,1045,00000000,0
274013,1046,00000000,0
274014,1047,00000000,0
274015,1048,00000000,0
274016,1049,00000000,0
274017,1050,00000000,0
274018,1051,00000000,0
274019,1052,00000000,0
274020,1053,00000000,0
274021,1054,00000000,0
274022,1055,00000000,0
274023,1056,00000000,0
274024,1057,00000000,0
274025,1058,00000000,0
