time_ps,write_index,bram_addr,bram_en,bram_we,bram_wrdata,writer_busy,vpp_done,mean_square_done,wave_done,error
2059275000,165,0x0029c,1,1111,0xxxxxxxxx,1,0,0,0,x
2059335000,166,0x002a0,1,1111,0xxxxxxxxx,1,0,0,0,x
2059395000,167,0x002a4,1,1111,0xxxxxxxxx,1,0,0,0,x
2059455000,168,0x002a8,1,1111,0xxxxxxxxx,1,0,0,0,x
2059515000,169,0x002ac,1,1111,0xxxxxxxxx,1,0,0,0,x
2059575000,170,0x002b0,1,1111,0xxxxxxxxx,1,0,0,0,x
2059635000,171,0x002b4,1,1111,0xxxxxxxxx,1,0,0,0,x
2059695000,172,0x002b8,1,1111,0xxxxxxxxx,1,0,0,0,x
2059755000,173,0x002bc,1,1111,0xxxxxxxxx,1,0,0,0,x
2059815000,174,0x002c0,1,1111,0xxxxxxxxx,1,0,0,0,x
2059875000,175,0x002c4,1,1111,0xxxxxxxxx,1,0,0,0,x
2059935000,176,0x002c8,1,1111,0xxxxxxxxx,1,0,0,0,x
2059995000,177,0x002cc,1,1111,0xxxxxxxxx,1,0,0,0,x
2060055000,178,0x002d0,1,1111,0xxxxxxxxx,1,0,0,0,x
2060115000,179,0x002d4,1,1111,0xxxxxxxxx,1,0,0,0,x
2060175000,180,0x002d8,1,1111,0xxxxxxxxx,1,0,0,0,x
2060235000,181,0x002dc,1,1111,0xxxxxxxxx,1,0,0,0,x
2060295000,182,0x002e0,1,1111,0xxxxxxxxx,1,0,0,0,x
2060355000,183,0x002e4,1,1111,0xxxxxxxxx,1,0,0,0,x
2060415000,184,0x002e8,1,1111,0xxxxxxxxx,1,0,0,0,x
2060475000,185,0x002ec,1,1111,0xxxxxxxxx,1,0,0,0,x
2060535000,186,0x002f0,1,1111,0xxxxxxxxx,1,0,0,0,x
2060595000,187,0x002f4,1,1111,0xxxxxxxxx,1,0,0,0,x
2060655000,188,0x002f8,1,1111,0xxxxxxxxx,1,0,0,0,x
2060715000,189,0x002fc,1,1111,0xxxxxxxxx,1,0,0,0,x
2060775000,190,0x00300,1,1111,0xxxxxxxxx,1,0,0,0,x
2060835000,191,0x00304,1,1111,0xxxxxxxxx,1,0,0,0,x
2060895000,192,0x00308,1,1111,0xxxxxxxxx,1,0,0,0,x
2060955000,193,0x0030c,1,1111,0xxxxxxxxx,1,0,0,0,x
2061015000,194,0x00310,1,1111,0xxxxxxxxx,1,0,0,0,x
2061075000,195,0x00314,1,1111,0xxxxxxxxx,1,0,0,0,x
2061135000,196,0x00318,1,1111,0xxxxxxxxx,1,0,0,0,x
2061195000,197,0x0031c,1,1111,0xxxxxxxxx,1,0,0,0,x
2061255000,198,0x00320,1,1111,0xxxxxxxxx,1,0,0,0,x
2061315000,199,0x00324,1,1111,0xxxxxxxxx,1,0,0,0,x
2061375000,200,0x00328,1,1111,0xxxxxxxxx,1,0,0,0,x
2061435000,201,0x0032c,1,1111,0xxxxxxxxx,1,0,0,0,x
2061495000,202,0x00330,1,1111,0xxxxxxxxx,1,0,0,0,x
2061555000,203,0x00334,1,1111,0xxxxxxxxx,1,0,0,0,x
2061615000,204,0x00338,1,1111,0xxxxxxxxx,1,0,0,0,x
2061675000,205,0x0033c,1,1111,0xxxxxxxxx,1,0,0,0,x
2061735000,206,0x00340,1,1111,0xxxxxxxxx,1,0,0,0,x
2061795000,207,0x00344,1,1111,0xxxxxxxxx,1,0,0,0,x
2061855000,208,0x00348,1,1111,0xxxxxxxxx,1,0,0,0,x
2061915000,209,0x0034c,1,1111,0xxxxxxxxx,1,0,0,0,x
2061975000,210,0x00350,1,1111,0xxxxxxxxx,1,0,0,0,x
2062035000,211,0x00354,1,1111,0xxxxxxxxx,1,0,0,0,x
2062095000,212,0x00358,1,1111,0xxxxxxxxx,1,0,0,0,x
2062155000,213,0x0035c,1,1111,0xxxxxxxxx,1,0,0,0,x
2062215000,214,0x00360,1,1111,0xxxxxxxxx,1,0,0,0,x
2062275000,215,0x00364,1,1111,0xxxxxxxxx,1,0,0,0,x
2062335000,216,0x00368,1,1111,0xxxxxxxxx,1,0,0,0,x
2062395000,217,0x0036c,1,1111,0xxxxxxxxx,1,0,0,0,x
2062455000,218,0x00370,1,1111,0xxxxxxxxx,1,0,0,0,x
2062515000,219,0x00374,1,1111,0xxxxxxxxx,1,0,0,0,x
2062575000,220,0x00378,1,1111,0xxxxxxxxx,1,0,0,0,x
2062635000,221,0x0037c,1,1111,0xxxxxxxxx,1,0,0,0,x
2062695000,222,0x00380,1,1111,0xxxxxxxxx,1,0,0,0,x
2062755000,223,0x00384,1,1111,0xxxxxxxxx,1,0,0,0,x
2062815000,224,0x00388,1,1111,0xxxxxxxxx,1,0,0,0,x
2062875000,225,0x0038c,1,1111,0xxxxxxxxx,1,0,0,0,x
2062935000,226,0x00390,1,1111,0xxxxxxxxx,1,0,0,0,x
2062995000,227,0x00394,1,1111,0xxxxxxxxx,1,0,0,0,x
2063055000,228,0x00398,1,1111,0xxxxxxxxx,1,0,0,0,x
2063115000,229,0x0039c,1,1111,0xxxxxxxxx,1,0,0,0,x
2063175000,230,0x003a0,1,1111,0xxxxxxxxx,1,0,0,0,x
2063235000,231,0x003a4,1,1111,0xxxxxxxxx,1,0,0,0,x
2063295000,232,0x003a8,1,1111,0xxxxxxxxx,1,0,0,0,x
2063355000,233,0x003ac,1,1111,0xxxxxxxxx,1,0,0,0,x
2063415000,234,0x003b0,1,1111,0xxxxxxxxx,1,0,0,0,x
2063475000,235,0x003b4,1,1111,0xxxxxxxxx,1,0,0,0,x
2063535000,236,0x003b8,1,1111,0xxxxxxxxx,1,0,0,0,x
2063595000,237,0x003bc,1,1111,0xxxxxxxxx,1,0,0,0,x
2063655000,238,0x003c0,1,1111,0xxxxxxxxx,1,0,0,0,x
2063715000,239,0x003c4,1,1111,0xxxxxxxxx,1,0,0,0,x
2063775000,240,0x003c8,1,1111,0xxxxxxxxx,1,0,0,0,x
2063835000,241,0x003cc,1,1111,0xxxxxxxxx,1,0,0,0,x
2063895000,242,0x003d0,1,1111,0xxxxxxxxx,1,0,0,0,x
2063955000,243,0x003d4,1,1111,0xxxxxxxxx,1,0,0,0,x
2064015000,244,0x003d8,1,1111,0xxxxxxxxx,1,0,0,0,x
2064075000,245,0x003dc,1,1111,0xxxxxxxxx,1,0,0,0,x
2064135000,246,0x003e0,1,1111,0xxxxxxxxx,1,0,0,0,x
2064195000,247,0x003e4,1,1111,0xxxxxxxxx,1,0,0,0,x
2064255000,248,0x003e8,1,1111,0xxxxxxxxx,1,0,0,0,x
2064315000,249,0x003ec,1,1111,0xxxxxxxxx,1,0,0,0,x
2064375000,250,0x003f0,1,1111,0xxxxxxxxx,1,0,0,0,x
2064435000,251,0x003f4,1,1111,0xxxxxxxxx,1,0,0,0,x
2064495000,252,0x003f8,1,1111,0xxxxxxxxx,1,0,0,0,x
2064555000,253,0x003fc,1,1111,0xxxxxxxxx,1,0,0,0,x
2064615000,254,0x00400,1,1111,0xxxxxxxxx,1,0,0,0,x
2064675000,255,0x00404,1,1111,0xxxxxxxxx,1,0,0,0,x
2064735000,256,0x00408,1,1111,0xxxxxxxxx,1,0,0,0,x
2064795000,257,0x0040c,1,1111,0xxxxxxxxx,1,0,0,0,x
2064855000,258,0x00410,1,1111,0xxxxxxxxx,1,0,0,0,x
2064915000,259,0x00414,1,1111,0xxxxxxxxx,1,0,0,0,x
2064975000,260,0x00418,1,1111,0xxxxxxxxx,1,0,0,0,x
2065035000,261,0x0041c,1,1111,0xxxxxxxxx,1,0,0,0,x
2065095000,262,0x00420,1,1111,0xxxxxxxxx,1,0,0,0,x
2065155000,263,0x00424,1,1111,0xxxxxxxxx,1,0,0,0,x
2065215000,264,0x00428,1,1111,0xxxxxxxxx,1,0,0,0,x
2065275000,265,0x0042c,1,1111,0xxxxxxxxx,1,0,0,0,x
2065335000,266,0x00430,1,1111,0xxxxxxxxx,1,0,0,0,x
2065395000,267,0x00434,1,1111,0xxxxxxxxx,1,0,0,0,x
2065455000,268,0x00438,1,1111,0xxxxxxxxx,1,0,0,0,x
2065515000,269,0x0043c,1,1111,0xxxxxxxxx,1,0,0,0,x
2065575000,270,0x00440,1,1111,0xxxxxxxxx,1,0,0,0,x
2065635000,271,0x00444,1,1111,0xxxxxxxxx,1,0,0,0,x
2065695000,272,0x00448,1,1111,0xxxxxxxxx,1,0,0,0,x
2065755000,273,0x0044c,1,1111,0xxxxxxxxx,1,0,0,0,x
2065815000,274,0x00450,1,1111,0xxxxxxxxx,1,0,0,0,x
2065875000,275,0x00454,1,1111,0xxxxxxxxx,1,0,0,0,x
2065935000,276,0x00458,1,1111,0xxxxxxxxx,1,0,0,0,x
2065995000,277,0x0045c,1,1111,0xxxxxxxxx,1,0,0,0,x
2066055000,278,0x00460,1,1111,0xxxxxxxxx,1,0,0,0,x
2066115000,279,0x00464,1,1111,0xxxxxxxxx,1,0,0,0,x
2066175000,280,0x00468,1,1111,0xxxxxxxxx,1,0,0,0,x
2066235000,281,0x0046c,1,1111,0xxxxxxxxx,1,0,0,0,x
2066295000,282,0x00470,1,1111,0xxxxxxxxx,1,0,0,0,x
2066355000,283,0x00474,1,1111,0xxxxxxxxx,1,0,0,0,x
2066415000,284,0x00478,1,1111,0xxxxxxxxx,1,0,0,0,x
2066475000,285,0x0047c,1,1111,0xxxxxxxxx,1,0,0,0,x
2066535000,286,0x00480,1,1111,0xxxxxxxxx,1,0,0,0,x
2066595000,287,0x00484,1,1111,0xxxxxxxxx,1,0,0,0,x
2066655000,288,0x00488,1,1111,0xxxxxxxxx,1,0,0,0,x
2066715000,289,0x0048c,1,1111,0xxxxxxxxx,1,0,0,0,x
2066775000,290,0x00490,1,1111,0xxxxxxxxx,1,0,0,0,x
2066835000,291,0x00494,1,1111,0xxxxxxxxx,1,0,0,0,x
2066895000,292,0x00498,1,1111,0xxxxxxxxx,1,0,0,0,x
2066955000,293,0x0049c,1,1111,0xxxxxxxxx,1,0,0,0,x
2067015000,294,0x004a0,1,1111,0xxxxxxxxx,1,0,0,0,x
2067075000,295,0x004a4,1,1111,0xxxxxxxxx,1,0,0,0,x
2067135000,296,0x004a8,1,1111,0xxxxxxxxx,1,0,0,0,x
2067195000,297,0x004ac,1,1111,0xxxxxxxxx,1,0,0,0,x
2067255000,298,0x004b0,1,1111,0xxxxxxxxx,1,0,0,0,x
2067315000,299,0x004b4,1,1111,0xxxxxxxxx,1,0,0,0,x
2067375000,300,0x004b8,1,1111,0xxxxxxxxx,1,0,0,0,x
2067435000,301,0x004bc,1,1111,0xxxxxxxxx,1,0,0,0,x
2067495000,302,0x004c0,1,1111,0xxxxxxxxx,1,0,0,0,x
2067555000,303,0x004c4,1,1111,0xxxxxxxxx,1,0,0,0,x
2067615000,304,0x004c8,1,1111,0xxxxxxxxx,1,0,0,0,x
2067675000,305,0x004cc,1,1111,0xxxxxxxxx,1,0,0,0,x
2067735000,306,0x004d0,1,1111,0xxxxxxxxx,1,0,0,0,x
2067795000,307,0x004d4,1,1111,0xxxxxxxxx,1,0,0,0,x
2067855000,308,0x004d8,1,1111,0xxxxxxxxx,1,0,0,0,x
2067915000,309,0x004dc,1,1111,0xxxxxxxxx,1,0,0,0,x
2067975000,310,0x004e0,1,1111,0xxxxxxxxx,1,0,0,0,x
2068035000,311,0x004e4,1,1111,0xxxxxxxxx,1,0,0,0,x
2068095000,312,0x004e8,1,1111,0xxxxxxxxx,1,0,0,0,x
2068155000,313,0x004ec,1,1111,0xxxxxxxxx,1,0,0,0,x
2068215000,314,0x004f0,1,1111,0xxxxxxxxx,1,0,0,0,x
2068275000,315,0x004f4,1,1111,0xxxxxxxxx,1,0,0,0,x
2068335000,316,0x004f8,1,1111,0xxxxxxxxx,1,0,0,0,x
