index,data,first,last
862,12,0,0
863,26,0,0
864,41,0,0
865,54,0,0
866,63,0,0
867,70,0,0
868,74,0,0
869,74,0,0
870,72,0,0
871,64,0,0
872,50,0,0
873,35,0,0
874,17,0,0
875,-5,0,0
876,-30,0,0
877,-58,0,0
878,-88,0,0
879,-121,0,0
880,-154,0,0
881,-186,0,0
882,-217,0,0
883,-249,0,0
884,-277,0,0
885,-301,0,0
886,-322,0,0
887,-339,0,0
888,-349,0,0
889,-357,0,0
890,-360,0,0
891,-357,0,0
892,-346,0,0
893,-330,0,0
894,-312,0,0
895,-287,0,0
896,-254,0,0
897,-219,0,0
898,-184,0,0
899,-138,0,0
900,-93,0,0
901,-50,0,0
902,-3,0,0
903,44,0,0
904,92,0,0
905,138,0,0
906,179,0,0
907,218,0,0
908,253,0,0
909,284,0,0
910,309,0,0
911,329,0,0
912,346,0,0
913,359,0,0
914,359,0,0
915,357,0,0
916,351,0,0
917,339,0,0
918,322,0,0
919,299,0,0
920,275,0,0
921,248,0,0
922,216,0,0
923,185,0,0
924,155,0,0
925,122,0,0
926,90,0,0
927,60,0,0
928,32,0,0
929,6,0,0
930,-18,0,0
931,-37,0,0
932,-54,0,0
933,-65,0,0
934,-70,0,0
935,-76,0,0
936,-74,0,0
937,-69,0,0
938,-63,0,0
939,-53,0,0
940,-41,0,0
941,-27,0,0
942,-15,0,0
943,0,0,0
944,17,0,0
945,32,0,0
946,45,0,0
947,57,0,0
948,66,0,0
949,71,0,0
950,73,0,0
951,72,0,0
952,68,0,0
953,59,0,0
954,45,0,0
955,32,0,0
956,12,0,0
957,-14,0,0
958,-40,0,0
959,-71,0,0
960,-102,0,0
961,-134,0,0
962,-165,0,0
963,-197,0,0
964,-228,0,0
965,-255,0,0
966,-283,0,0
967,-308,0,0
968,-328,0,0
969,-343,0,0
970,-352,0,0
971,-359,0,0
972,-360,0,0
973,-353,0,0
974,-342,0,0
975,-325,0,0
976,-303,0,0
977,-275,0,0
978,-242,0,0
979,-205,0,0
980,-164,0,0
981,-124,0,0
982,-79,0,0
983,-30,0,0
984,16,0,0
985,61,0,0
986,108,0,0
987,151,0,0
988,192,0,0
989,232,0,0
990,266,0,0
991,293,0,0
992,317,0,0
993,335,0,0
994,350,0,0
995,358,0,0
996,357,0,0
997,354,0,0
998,347,0,0
999,331,0,0
1000,314,0,0
1001,293,0,0
1002,264,0,0
1003,235,0,0
1004,206,0,0
1005,174,0,0
1006,141,0,0
1007,109,0,0
1008,77,0,0
1009,48,0,0
1010,21,0,0
1011,-4,0,0
1012,-25,0,0
1013,-43,0,0
1014,-58,0,0
1015,-68,0,0
1016,-72,0,0
1017,-77,0,0
1018,-74,0,0
1019,-67,0,0
1020,-61,0,0
1021,-50,0,0
1022,-36,0,0
1023,-24,0,0
1024,-8,0,0
1025,9,0,0
1026,23,0,0
1027,38,0,0
1028,52,0,0
1029,59,0,0
1030,68,0,0
1031,73,0,0
1032,75,0,0
1033,74,0,0
1034,67,0,0
1035,54,0,0
1036,41,0,0
1037,23,0,0
1038,2,0,0
1039,-23,0,0
1040,-52,0,0
1041,-81,0,0
1042,-111,0,0
1043,-143,0,0
1044,-177,0,0
1045,-211,0,0
1046,-240,0,0
1047,-267,0,0
1048,-293,0,0
1049,-317,0,0
1050,-336,0,0
1051,-347,0,0
1052,-357,0,0
1053,-360,0,0
1054,-359,0,0
1055,-351,0,0
1056,-335,0,0
1057,-317,0,0
1058,-293,0,0
1059,-264,0,0
1060,-229,0,0
1061,-191,0,0
1062,-152,0,0
1063,-106,0,0
1064,-59,0,0
1065,-15,0,0
1066,31,0,0
1067,80,0,0
1068,126,0,0
1069,166,0,0
1070,205,0,0
1071,244,0,0
1072,275,0,0
1073,303,0,0
1074,326,0,0
1075,343,0,0
1076,353,0,0
1077,359,0,0
1078,361,0,0
1079,353,0,0
1080,340,0,0
1081,326,0,0
1082,307,0,0
1083,282,0,0
1084,254,0,0
1085,225,0,0
1086,194,0,0
1087,161,0,0
1088,128,0,0
1089,97,0,0
1090,67,0,0
1091,40,0,0
1092,14,0,0
1093,-12,0,0
1094,-35,0,0
1095,-50,0,0
1096,-63,0,0
1097,-71,0,0
1098,-74,0,0
1099,-75,0,0
1100,-74,0,0
1101,-67,0,0
1102,-59,0,0
1103,-46,0,0
1104,-31,0,0
1105,-20,0,0
1106,-3,0,0
1107,13,0,0
1108,28,0,0
1109,44,0,0
1110,56,0,0
1111,63,0,0
1112,71,0,0
1113,75,0,0
1114,75,0,0
1115,70,0,0
1116,60,0,0
1117,50,0,0
1118,37,0,0
1119,13,0,0
1120,-9,0,0
1121,-32,0,0
1122,-63,0,0
1123,-93,0,0
1124,-124,0,0
1125,-157,0,0
1126,-189,0,0
1127,-221,0,0
1128,-250,0,0
1129,-277,0,0
1130,-303,0,0
1131,-324,0,0
1132,-339,0,0
1133,-350,0,0
1134,-356,0,0
1135,-359,0,0
1136,-355,0,0
1137,-345,0,0
1138,-330,0,0
1139,-312,0,0
1140,-283,0,0
1141,-249,0,0
1142,-216,0,0
1143,-177,0,0
1144,-134,0,0
1145,-89,0,0
1146,-44,0,0
1147,1,0,0
1148,49,0,0
1149,96,0,0
1150,140,0,0
1151,182,0,0
1152,221,0,0
1153,256,0,0
1154,286,0,0
1155,309,0,0
1156,331,0,0
1157,347,0,0
1158,357,0,0
1159,359,0,0
1160,355,0,0
1161,350,0,0
1162,337,0,0
1163,316,0,0
1164,299,0,0
1165,275,0,0
1166,243,0,0
1167,213,0,0
1168,183,0,0
1169,150,0,0
1170,118,0,0
1171,88,0,0
1172,56,0,0
1173,26,0,0
1174,2,0,0
1175,-20,0,0
1176,-38,0,0
1177,-53,0,0
1178,-65,0,0
1179,-72,0,0
1180,-75,0,0
1181,-75,0,0
1182,-72,0,0
1183,-65,0,0
1184,-54,0,0
1185,-41,0,0
1186,-27,0,0
1187,-10,0,0
1188,4,0,0
1189,19,0,0
1190,35,0,0
1191,46,0,0
1192,58,0,0
1193,67,0,0
1194,72,0,0
1195,74,0,0
1196,71,0,0
1197,68,0,0
1198,58,0,0
1199,45,0,0
1200,29,0,0
1201,9,0,0
1202,-15,0,0
1203,-45,0,0
1204,-75,0,0
1205,-107,0,0
1206,-137,0,0
1207,-168,0,0
1208,-201,0,0
1209,-230,0,0
1210,-261,0,0
1211,-287,0,0
1212,-309,0,0
1213,-330,0,0
1214,-345,0,0
1215,-354,0,0
1216,-361,0,0
1217,-359,0,0
1218,-352,0,0
1219,-342,0,0
1220,-323,0,0
1221,-300,0,0
1222,-273,0,0
1223,-240,0,0
1224,-203,0,0
1225,-163,0,0
1226,-119,0,0
1227,-71,0,0
1228,-27,0,0
1229,20,0,0
1230,68,0,0
1231,115,0,0
1232,158,0,0
1233,197,0,0
1234,233,0,0
1235,269,0,0
1236,298,0,0
1237,321,0,0
1238,339,0,0
1239,351,0,0
1240,358,0,0
1241,359,0,0
1242,352,0,0
1243,345,0,0
1244,333,0,0
1245,312,0,0
1246,290,0,0
1247,261,0,0
1248,231,0,0
1249,205,0,0
1250,173,0,0
1251,138,0,0
1252,105,0,0
1253,75,0,0
1254,46,0,0
1255,18,0,0
1256,-4,0,0
1257,-24,0,0
1258,-44,0,0
1259,-59,0,0
1260,-67,0,0
1261,-73,0,0
1262,-75,0,0
1263,-74,0,0
1264,-70,0,0
1265,-61,0,0
1266,-50,0,0
1267,-37,0,0
1268,-20,0,0
1269,-7,0,0
1270,11,0,0
1271,27,0,0
1272,39,0,0
1273,51,0,0
1274,62,0,0
1275,69,0,0
1276,73,0,0
1277,75,0,0
1278,72,0,0
1279,66,0,0
1280,54,0,0
1281,38,0,0
1282,20,0,0
1283,-2,0,0
1284,-28,0,0
1285,-56,0,0
1286,-86,0,0
1287,-117,0,0
1288,-146,0,0
1289,-180,0,0
1290,-212,0,0
1291,-242,0,0
1292,-270,0,0
1293,-296,0,0
1294,-319,0,0
1295,-338,0,0
1296,-350,0,0
1297,-356,0,0
1298,-359,0,0
1299,-358,0,0
1300,-349,0,0
1301,-334,0,0
1302,-316,0,0
1303,-293,0,0
1304,-260,0,0
1305,-225,0,0
1306,-188,0,0
1307,-146,0,0
1308,-103,0,0
1309,-57,0,0
1310,-9,0,0
1311,38,0,0
1312,84,0,0
1313,131,0,0
1314,174,0,0
1315,211,0,0
1316,248,0,0
1317,278,0,0
1318,305,0,0
1319,327,0,0
1320,343,0,0
1321,355,0,0
1322,361,0,0
1323,358,0,0
1324,350,0,0
1325,339,0,0
1326,324,0,0
1327,303,0,0
1328,279,0,0
1329,252,0,0
1330,222,0,0
1331,193,0,0
1332,162,0,0
1333,128,0,0
1334,93,0,0
1335,64,0,0
1336,36,0,0
1337,9,0,0
1338,-15,0,0
1339,-34,0,0
1340,-49,0,0
1341,-62,0,0
1342,-71,0,0
1343,-76,0,0
1344,-77,0,0
1345,-73,0,0
1346,-66,0,0
1347,-57,0,0
1348,-43,0,0
1349,-30,0,0
1350,-18,0,0
1351,-1,0,0
1352,17,0,0
1353,30,0,0
1354,41,0,0
1355,58,0,0
1356,66,0,0
1357,69,0,0
1358,75,0,0
1359,73,0,0
1360,68,0,0
1361,62,0,0
1362,48,0,0
1363,32,0,0
1364,13,0,0
1365,-11,0,0
1366,-37,0,0
1367,-66,0,0
1368,-97,0,0
1369,-128,0,0
1370,-159,0,0
1371,-192,0,0
1372,-222,0,0
1373,-251,0,0
1374,-281,0,0
1375,-304,0,0
1376,-324,0,0
1377,-343,0,0
1378,-354,0,0
1379,-360,0,0
1380,-359,0,0
1381,-354,0,0
1382,-345,0,0
1383,-328,0,0
1384,-306,0,0
1385,-278,0,0
1386,-248,0,0
1387,-213,0,0
1388,-173,0,0
1389,-129,0,0
1390,-85,0,0
1391,-39,0,0
1392,6,0,0
1393,54,0,0
1394,101,0,0
1395,144,0,0
1396,187,0,0
1397,225,0,0
1398,260,0,0
1399,290,0,0
1400,315,0,0
1401,334,0,0
1402,349,0,0
1403,358,0,0
1404,361,0,0
1405,355,0,0
1406,347,0,0
1407,335,0,0
1408,318,0,0
1409,296,0,0
1410,271,0,0
1411,243,0,0
1412,210,0,0
1413,178,0,0
1414,148,0,0
1415,115,0,0
1416,82,0,0
1417,53,0,0
1418,26,0,0
1419,0,0,0
1420,-22,0,0
1421,-40,0,0
1422,-55,0,0
1423,-67,0,0
1424,-73,0,0
1425,-76,0,0
1426,-76,0,0
1427,-72,0,0
1428,-63,0,0
1429,-52,0,0
1430,-39,0,0
1431,-24,0,0
1432,-10,0,0
1433,5,0,0
1434,21,0,0
1435,33,0,0
1436,47,0,0
1437,58,0,0
1438,66,0,0
1439,73,0,0
1440,76,0,0
1441,72,0,0
1442,65,0,0
1443,56,0,0
1444,43,0,0
1445,25,0,0
1446,4,0,0
1447,-22,0,0
1448,-47,0,0
1449,-76,0,0
1450,-106,0,0
1451,-139,0,0
1452,-174,0,0
1453,-206,0,0
1454,-236,0,0
1455,-263,0,0
1456,-287,0,0
1457,-313,0,0
1458,-333,0,0
1459,-347,0,0
1460,-357,0,0
1461,-361,0,0
1462,-360,0,0
1463,-352,0,0
1464,-338,0,0
1465,-321,0,0
1466,-297,0,0
1467,-269,0,0
1468,-235,0,0
1469,-198,0,0
1470,-159,0,0
1471,-115,0,0
1472,-68,0,0
1473,-20,0,0
1474,26,0,0
1475,73,0,0
1476,117,0,0
1477,159,0,0
1478,199,0,0
1479,236,0,0
1480,270,0,0
1481,299,0,0
1482,322,0,0
1483,339,0,0
1484,351,0,0
1485,360,0,0
1486,359,0,0
1487,354,0,0
1488,345,0,0
1489,328,0,0
1490,309,0,0
1491,287,0,0
1492,260,0,0
1493,230,0,0
1494,198,0,0
1495,167,0,0
1496,134,0,0
1497,101,0,0
1498,71,0,0
1499,45,0,0
1500,17,0,0
1501,-8,0,0
1502,-29,0,0
1503,-45,0,0
1504,-59,0,0
1505,-69,0,0
1506,-73,0,0
1507,-75,0,0
1508,-73,0,0
1509,-67,0,0
1510,-59,0,0
1511,-47,0,0
1512,-33,0,0
1513,-19,0,0
1514,-5,0,0
1515,11,0,0
1516,27,0,0
1517,40,0,0
1518,53,0,0
1519,65,0,0
1520,69,0,0
1521,73,0,0
1522,74,0,0
1523,72,0,0
1524,64,0,0
1525,51,0,0
1526,37,0,0
1527,19,0,0
1528,-5,0,0
1529,-30,0,0
1530,-59,0,0
1531,-87,0,0
1532,-120,0,0
1533,-153,0,0
1534,-183,0,0
1535,-214,0,0
1536,-245,0,0
1537,-272,0,0
1538,-298,0,0
1539,-320,0,0
1540,-336,0,0
1541,-348,0,0
1542,-356,0,0
1543,-358,0,0
1544,-353,0,0
1545,-347,0,0
1546,-334,0,0
1547,-312,0,0
1548,-287,0,0
1549,-256,0,0
1550,-220,0,0
1551,-183,0,0
1552,-142,0,0
1553,-98,0,0
1554,-52,0,0
1555,-4,0,0
1556,43,0,0
1557,89,0,0
1558,133,0,0
1559,176,0,0
1560,216,0,0
1561,252,0,0
1562,282,0,0
1563,306,0,0
1564,329,0,0
1565,347,0,0
1566,354,0,0
1567,358,0,0
1568,359,0,0
1569,352,0,0
1570,339,0,0
1571,322,0,0
1572,301,0,0
1573,276,0,0
1574,250,0,0
1575,220,0,0
1576,188,0,0
