time_ps,bram_addr,bram_en,bram_we,bram_wrdata,fir_data,fir_valid,vpp_data,vpp_valid,mean_square_data,mean_square_valid,writer_busy,vpp_done,mean_square_done
2531205000,0x178e8,1,1111,0xff15ff14,-235,1,0x00000000,0,0x00000000,0,1,0,0
2531225000,0x178ec,1,1111,0xff28ff14,-216,1,0x00000000,0,0x00000000,0,1,0,0
2531245000,0x178f0,1,1111,0xff23ff1e,-221,1,0x00000000,0,0x00000000,0,1,0,0
2531265000,0x178f4,1,1111,0xff2cff1f,-212,1,0x00000000,0,0x00000000,0,1,0,0
2531285000,0x178f8,1,1111,0xff34ff28,-204,1,0x00000000,0,0x00000000,0,1,0,0
2531305000,0x178fc,1,1111,0xff24ff2b,-220,1,0x00000000,0,0x00000000,0,1,0,0
2531325000,0x17900,1,1111,0xff30ff36,-208,1,0x00000000,0,0x00000000,0,1,0,0
2531345000,0x17904,1,1111,0xff35ff37,-203,1,0x00000000,0,0x00000000,0,1,0,0
2531365000,0x17908,1,1111,0xff3cff32,-196,1,0x00000000,0,0x00000000,0,1,0,0
2531385000,0x1790c,1,1111,0xff44ff3b,-188,1,0x00000000,0,0x00000000,0,1,0,0
2531405000,0x17910,1,1111,0xff3fff41,-193,1,0x00000000,0,0x00000000,0,1,0,0
2531425000,0x17914,1,1111,0xff43ff4f,-189,1,0x00000000,0,0x00000000,0,1,0,0
2531445000,0x17918,1,1111,0xff57ff4e,-169,1,0x00000000,0,0x00000000,0,1,0,0
2531465000,0x1791c,1,1111,0xff52ff4a,-174,1,0x00000000,0,0x00000000,0,1,0,0
2531485000,0x17920,1,1111,0xff55ff5d,-171,1,0x00000000,0,0x00000000,0,1,0,0
2531505000,0x17924,1,1111,0xff61ff62,-159,1,0x00000000,0,0x00000000,0,1,0,0
2531525000,0x17928,1,1111,0xff56ff60,-170,1,0x00000000,0,0x00000000,0,1,0,0
2531545000,0x1792c,1,1111,0xff71ff68,-143,1,0x00000000,0,0x00000000,0,1,0,0
2531565000,0x17930,1,1111,0xff70ff6c,-144,1,0x00000000,0,0x00000000,0,1,0,0
2531585000,0x17934,1,1111,0xff77ff70,-137,1,0x00000000,0,0x00000000,0,1,0,0
2531605000,0x17938,1,1111,0xff84ff7a,-124,1,0x00000000,0,0x00000000,0,1,0,0
2531625000,0x1793c,1,1111,0xff85ff84,-123,1,0x00000000,0,0x00000000,0,1,0,0
2531645000,0x17940,1,1111,0xff8eff7f,-114,1,0x00000000,0,0x00000000,0,1,0,0
2531665000,0x17944,1,1111,0xff90ff95,-112,1,0x00000000,0,0x00000000,0,1,0,0
2531685000,0x17948,1,1111,0xff93ff92,-109,1,0x00000000,0,0x00000000,0,1,0,0
2531705000,0x1794c,1,1111,0xff9dff94,-99,1,0x00000000,0,0x00000000,0,1,0,0
2531725000,0x17950,1,1111,0xff96ffa0,-106,1,0x00000000,0,0x00000000,0,1,0,0
2531745000,0x17954,1,1111,0xffa6ffa7,-90,1,0x00000000,0,0x00000000,0,1,0,0
2531765000,0x17958,1,1111,0xffaeffab,-82,1,0x00000000,0,0x00000000,0,1,0,0
2531785000,0x1795c,1,1111,0xffa7ffab,-89,1,0x00000000,0,0x00000000,0,1,0,0
2531805000,0x17960,1,1111,0xffb5ffb1,-75,1,0x00000000,0,0x00000000,0,1,0,0
2531825000,0x17964,1,1111,0xffc0ffbc,-64,1,0x00000000,0,0x00000000,0,1,0,0
2531845000,0x17968,1,1111,0xffc7ffc0,-57,1,0x00000000,0,0x00000000,0,1,0,0
2531865000,0x1796c,1,1111,0xffc5ffbf,-59,1,0x00000000,0,0x00000000,0,1,0,0
2531885000,0x17970,1,1111,0xffcbffc8,-53,1,0x00000000,0,0x00000000,0,1,0,0
2531905000,0x17974,1,1111,0xffd6ffd4,-42,1,0x00000000,0,0x00000000,0,1,0,0
2531925000,0x17978,1,1111,0xffd9ffcd,-39,1,0x00000000,0,0x00000000,0,1,0,0
2531945000,0x1797c,1,1111,0xffe1ffe0,-31,1,0x00000000,0,0x00000000,0,1,0,0
2531965000,0x17980,1,1111,0xffddffde,-35,1,0x00000000,0,0x00000000,0,1,0,0
2531985000,0x17984,1,1111,0xffe8ffe7,-24,1,0x00000000,0,0x00000000,0,1,0,0
2532005000,0x17988,1,1111,0xffeefff2,-18,1,0x00000000,0,0x00000000,0,1,0,0
2532025000,0x1798c,1,1111,0xfff6fff3,-10,1,0x00000000,0,0x00000000,0,1,0,0
2532045000,0x17990,1,1111,0x0001fff7,1,1,0x00000000,0,0x00000000,0,1,0,0
2532065000,0x17994,1,1111,0xfffbfff7,-5,1,0x00000000,0,0x00000000,0,1,0,0
2532085000,0x17998,1,1111,0xfffefffd,-2,1,0x00000000,0,0x00000000,0,1,0,0
2532105000,0x1799c,1,1111,0x0006000a,6,1,0x00000000,0,0x00000000,0,1,0,0
2532125000,0x179a0,1,1111,0x001a0012,26,1,0x00000000,0,0x00000000,0,1,0,0
2532145000,0x179a4,1,1111,0x001a001a,26,1,0x00000000,0,0x00000000,0,1,0,0
2532165000,0x179a8,1,1111,0x00190024,25,1,0x00000000,0,0x00000000,0,1,0,0
2532185000,0x179ac,1,1111,0x00260029,38,1,0x00000000,0,0x00000000,0,1,0,0
2532205000,0x179b0,1,1111,0x0030002d,48,1,0x00000000,0,0x00000000,0,1,0,0
2532225000,0x179b4,1,1111,0x0032002e,50,1,0x00000000,0,0x00000000,0,1,0,0
2532245000,0x179b8,1,1111,0x002f002e,47,1,0x00000000,0,0x00000000,0,1,0,0
2532265000,0x179bc,1,1111,0x003a003f,58,1,0x00000000,0,0x00000000,0,1,0,0
2532285000,0x179c0,1,1111,0x0042003d,66,1,0x00000000,0,0x00000000,0,1,0,0
2532305000,0x179c4,1,1111,0x00440047,68,1,0x00000000,0,0x00000000,0,1,0,0
2532325000,0x179c8,1,1111,0x0055004a,85,1,0x00000000,0,0x00000000,0,1,0,0
2532345000,0x179cc,1,1111,0x004f004f,79,1,0x00000000,0,0x00000000,0,1,0,0
2532365000,0x179d0,1,1111,0x00520058,82,1,0x00000000,0,0x00000000,0,1,0,0
2532385000,0x179d4,1,1111,0x00560057,86,1,0x00000000,0,0x00000000,0,1,0,0
2532405000,0x179d8,1,1111,0x00690055,105,1,0x00000000,0,0x00000000,0,1,0,0
2532425000,0x179dc,1,1111,0x00640068,100,1,0x00000000,0,0x00000000,0,1,0,0
2532445000,0x179e0,1,1111,0x0070006d,112,1,0x00000000,0,0x00000000,0,1,0,0
2532465000,0x179e4,1,1111,0x00730074,115,1,0x00000000,0,0x00000000,0,1,0,0
2532485000,0x179e8,1,1111,0x00750077,117,1,0x00000000,0,0x00000000,0,1,0,0
2532505000,0x179ec,1,1111,0x00850081,133,1,0x00000000,0,0x00000000,0,1,0,0
2532525000,0x179f0,1,1111,0x00890083,137,1,0x00000000,0,0x00000000,0,1,0,0
2532545000,0x179f4,1,1111,0x00810081,129,1,0x00000000,0,0x00000000,0,1,0,0
2532565000,0x179f8,1,1111,0x008b0089,139,1,0x00000000,0,0x00000000,0,1,0,0
2532585000,0x179fc,1,1111,0x00990096,153,1,0x00000000,0,0x00000000,0,1,0,0
2532605000,0x17a00,1,1111,0x00a0009e,160,1,0x00000000,0,0x00000000,0,1,0,0
2532625000,0x17a04,1,1111,0x009c009b,156,1,0x00000000,0,0x00000000,0,1,0,0
2532645000,0x17a08,1,1111,0x00ae0094,174,1,0x00000000,0,0x00000000,0,1,0,0
2532665000,0x17a0c,1,1111,0x00aa00b0,170,1,0x00000000,0,0x00000000,0,1,0,0
2532685000,0x17a10,1,1111,0x00ae00b0,174,1,0x00000000,0,0x00000000,0,1,0,0
2532705000,0x17a14,1,1111,0x00b600b0,182,1,0x00000000,0,0x00000000,0,1,0,0
2532725000,0x17a18,1,1111,0x00ba00b4,186,1,0x00000000,0,0x00000000,0,1,0,0
2532745000,0x17a1c,1,1111,0x00b500be,181,1,0x00000000,0,0x00000000,0,1,0,0
2532765000,0x17a20,1,1111,0x00c400bb,196,1,0x00000000,0,0x00000000,0,1,0,0
2532785000,0x17a24,1,1111,0x00cd00c8,205,1,0x00000000,0,0x00000000,0,1,0,0
2532805000,0x17a28,1,1111,0x00c800c7,200,1,0x00000000,0,0x00000000,0,1,0,0
2532825000,0x17a2c,1,1111,0x00d800ca,216,1,0x00000000,0,0x00000000,0,1,0,0
2532845000,0x17a30,1,1111,0x00d700d2,215,1,0x00000000,0,0x00000000,0,1,0,0
2532865000,0x17a34,1,1111,0x00d400d7,212,1,0x00000000,0,0x00000000,0,1,0,0
2532885000,0x17a38,1,1111,0x00dd00db,221,1,0x00000000,0,0x00000000,0,1,0,0
2532905000,0x17a3c,1,1111,0x00e700e0,231,1,0x00000000,0,0x00000000,0,1,0,0
2532925000,0x17a40,1,1111,0x00ef00ea,239,1,0x00000000,0,0x00000000,0,1,0,0
2532945000,0x17a44,1,1111,0x00ee00e7,238,1,0x00000000,0,0x00000000,0,1,0,0
2532965000,0x17a48,1,1111,0x00eb00f0,235,1,0x00000000,0,0x00000000,0,1,0,0
2532985000,0x17a4c,1,1111,0x00f300fc,243,1,0x00000000,0,0x00000000,0,1,0,0
2533005000,0x17a50,1,1111,0x00f300f7,243,1,0x00000000,0,0x00000000,0,1,0,0
2533025000,0x17a54,1,1111,0x00f60107,246,1,0x00000000,0,0x00000000,0,1,0,0
2533045000,0x17a58,1,1111,0x01090109,265,1,0x00000000,0,0x00000000,0,1,0,0
2533065000,0x17a5c,1,1111,0x010d0107,269,1,0x00000000,0,0x00000000,0,1,0,0
2533085000,0x17a60,1,1111,0x01100105,272,1,0x00000000,0,0x00000000,0,1,0,0
2533105000,0x17a64,1,1111,0x010f010d,271,1,0x00000000,0,0x00000000,0,1,0,0
2533125000,0x17a68,1,1111,0x01120113,274,1,0x00000000,0,0x00000000,0,1,0,0
2533145000,0x17a6c,1,1111,0x0114011f,276,1,0x00000000,0,0x00000000,0,1,0,0
2533165000,0x17a70,1,1111,0x011d0119,285,1,0x00000000,0,0x00000000,0,1,0,0
2533185000,0x17a74,1,1111,0x01220120,290,1,0x00000000,0,0x00000000,0,1,0,0
2533205000,0x17a78,1,1111,0x01220121,290,1,0x00000000,0,0x00000000,0,1,0,0
2533225000,0x17a7c,1,1111,0x0124011f,292,1,0x00000000,0,0x00000000,0,1,0,0
2533245000,0x17a80,1,1111,0x0123012c,291,1,0x00000000,0,0x00000000,0,1,0,0
