time_ps,write_index,bram_addr,bram_en,bram_we,bram_wrdata,writer_busy,vpp_done,mean_square_done,wave_done,error,vpp_data,vpp_valid,mean_square_data,mean_square_valid
2358645000,5153,0x0508c,1,1111,0xfe99fe99,1,0,0,0,0,0x00000000,0,0x00000000,0
2358705000,5154,0x05090,1,1111,0xfe98fe99,1,0,0,0,0,0x00000000,0,0x00000000,0
2358765000,5155,0x05094,1,1111,0xfe98fe98,1,0,0,0,0,0x00000000,0,0x00000000,0
2358825000,5156,0x05098,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2358885000,5157,0x0509c,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2358945000,5158,0x050a0,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2359005000,5159,0x050a4,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2359065000,5160,0x050a8,1,1111,0xfe96fe96,1,0,0,0,0,0x00000000,0,0x00000000,0
2359125000,5161,0x050ac,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2359185000,5162,0x050b0,1,1111,0xfe97fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2359245000,5163,0x050b4,1,1111,0xfe98fe97,1,0,0,0,0,0x00000000,0,0x00000000,0
2359305000,5164,0x050b8,1,1111,0xfe98fe98,1,0,0,0,0,0x00000000,0,0x00000000,0
2359365000,5165,0x050bc,1,1111,0xfe99fe99,1,0,0,0,0,0x00000000,0,0x00000000,0
2359425000,5166,0x050c0,1,1111,0xfe9afe99,1,0,0,0,0,0x00000000,0,0x00000000,0
2359485000,5167,0x050c4,1,1111,0xfe9bfe9a,1,0,0,0,0,0x00000000,0,0x00000000,0
2359545000,5168,0x050c8,1,1111,0xfe9cfe9b,1,0,0,0,0,0x00000000,0,0x00000000,0
2359605000,5169,0x050cc,1,1111,0xfe9dfe9c,1,0,0,0,0,0x00000000,0,0x00000000,0
2359665000,5170,0x050d0,1,1111,0xfe9efe9d,1,0,0,0,0,0x00000000,0,0x00000000,0
2359725000,5171,0x050d4,1,1111,0xfe9ffe9e,1,0,0,0,0,0x00000000,0,0x00000000,0
2359785000,5172,0x050d8,1,1111,0xfea0fea0,1,0,0,0,0,0x00000000,0,0x00000000,0
2359845000,5173,0x050dc,1,1111,0xfea2fea1,1,0,0,0,0,0x00000000,0,0x00000000,0
2359905000,5174,0x050e0,1,1111,0xfea3fea2,1,0,0,0,0,0x00000000,0,0x00000000,0
2359965000,5175,0x050e4,1,1111,0xfea4fea3,1,0,0,0,0,0x00000000,0,0x00000000,0
2360025000,5176,0x050e8,1,1111,0xfea6fea5,1,0,0,0,0,0x00000000,0,0x00000000,0
2360085000,5177,0x050ec,1,1111,0xfea7fea6,1,0,0,0,0,0x00000000,0,0x00000000,0
2360145000,5178,0x050f0,1,1111,0xfea9fea8,1,0,0,0,0,0x00000000,0,0x00000000,0
2360205000,5179,0x050f4,1,1111,0xfeaafea9,1,0,0,0,0,0x00000000,0,0x00000000,0
2360265000,5180,0x050f8,1,1111,0xfeacfeab,1,0,0,0,0,0x00000000,0,0x00000000,0
2360325000,5181,0x050fc,1,1111,0xfeaefead,1,0,0,0,0,0x00000000,0,0x00000000,0
2360385000,5182,0x05100,1,1111,0xfeb0feaf,1,0,0,0,0,0x00000000,0,0x00000000,0
2360445000,5183,0x05104,1,1111,0xfeb2feb1,1,0,0,0,0,0x00000000,0,0x00000000,0
2360505000,5184,0x05108,1,1111,0xfeb4feb3,1,0,0,0,0,0x00000000,0,0x00000000,0
2360565000,5185,0x0510c,1,1111,0xfeb6feb5,1,0,0,0,0,0x00000000,0,0x00000000,0
2360625000,5186,0x05110,1,1111,0xfeb8feb7,1,0,0,0,0,0x00000000,0,0x00000000,0
2360685000,5187,0x05114,1,1111,0xfebbfeba,1,0,0,0,0,0x00000000,0,0x00000000,0
2360745000,5188,0x05118,1,1111,0xfebefebc,1,0,0,0,0,0x00000000,0,0x00000000,0
2360805000,5189,0x0511c,1,1111,0xfec0febf,1,0,0,0,0,0x00000000,0,0x00000000,0
2360865000,5190,0x05120,1,1111,0xfec3fec2,1,0,0,0,0,0x00000000,0,0x00000000,0
2360925000,5191,0x05124,1,1111,0xfec6fec4,1,0,0,0,0,0x00000000,0,0x00000000,0
2360985000,5192,0x05128,1,1111,0xfec9fec7,1,0,0,0,0,0x00000000,0,0x00000000,0
2361045000,5193,0x0512c,1,1111,0xfecbfeca,1,0,0,0,0,0x00000000,0,0x00000000,0
2361105000,5194,0x05130,1,1111,0xfecefecd,1,0,0,0,0,0x00000000,0,0x00000000,0
2361165000,5195,0x05134,1,1111,0xfed1fed0,1,0,0,0,0,0x00000000,0,0x00000000,0
2361225000,5196,0x05138,1,1111,0xfed4fed2,1,0,0,0,0,0x00000000,0,0x00000000,0
2361285000,5197,0x0513c,1,1111,0xfed7fed5,1,0,0,0,0,0x00000000,0,0x00000000,0
2361345000,5198,0x05140,1,1111,0xfedafed8,1,0,0,0,0,0x00000000,0,0x00000000,0
